Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Primary %,Won Primary,Rep Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,No Labels Support?,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,LAST_NAME,FIRST_NAME,SP_TITLE
Stephanie Jones,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,1.3,No,,,No,,No,No,,,,,,,,,H8NV03234,"JONES, STEPHANIE",O,2.0,REP,3849.0,0.0,3849.0,0.0,0.0,0.0,1149.0,0.0,0.0,0.0,0.0,0.0,2700.0,NV,3.0,,,,,,0.0,0.0,07/20/2018,0.0,0.0,jones, stephanie,
Cresent Hardy,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Advanced,None,On the Ballot,47.41,Yes,Yes,,,,,,,,Yes,,,Yes,,,H4NV04017,"HARDY, CRESENT",I,2.0,REP,21943.61,0.0,46533.28,0.0,24152.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NV,4.0,,,,,,0.0,0.0,09/30/2017,0.0,2300.0,hardy, cresent,
Cresent Hardy,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Advanced,None,On the Ballot,47.41,Yes,Yes,,,,,,,,Yes,,,Yes,,,H8NV04059,"HARDY, CRESENT",O,2.0,REP,903033.08,21389.18,889839.7,0.0,0.0,13193.38,0.0,0.0,0.0,0.0,0.0,0.0,549130.45,NV,4.0,,,,,,318968.5,10000.0,12/31/2018,15569.66,0.0,hardy, cresent,
Kenneth Wegner,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,11.27,No,No,,,,,,,,No,,,No,,,H8NV04075,"WEGNER, KENNETH A",O,2.0,REP,6777.83,0.0,6752.92,0.0,0.0,24.91,3000.0,0.0,0.0,0.0,0.0,0.0,3505.83,NV,4.0,,,,,,0.0,0.0,06/30/2018,0.0,0.0,wegner, kenneth a,
Bill Townsend,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,11.37,No,No,,,,,,,,No,,,No,,,H8NV04109,"TOWNSEND, BILL",O,2.0,REP,30397.6,0.0,30397.6,0.0,0.0,0.0,0.0,24741.06,0.0,0.0,0.0,24741.06,5656.54,NV,4.0,,,,,,0.0,0.0,06/30/2018,0.0,0.0,townsend, bill,
David Gibbs,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,18.96,No,No,,,,,,,,No,,,No,,,H8NV04083,"GIBBS, DAVID",O,2.0,REP,30330.0,0.0,30330.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,20000.0,10330.0,NV,4.0,,,,,,0.0,0.0,08/28/2018,0.0,0.0,gibbs, david,
Naomi Levin,NY,U.S. House New York District 10,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H8NY10099,"LEVIN, NAOMI",C,2.0,REP,82474.0,0.0,79218.12,0.0,0.0,3255.88,860.0,0.0,0.0,0.0,0.0,1850.49,80614.0,NY,10.0,,,,,,1000.0,0.0,12/31/2018,200.0,35.0,levin, naomi,
Eliot Rabin,NY,U.S. House New York District 12,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H8NY12145,"RABIN, ELIOT MR.",C,2.0,REP,35701.57,0.0,35435.16,0.0,30.0,296.41,24358.36,0.0,0.0,0.0,0.0,552.92,10312.86,NY,12.0,,,,,,0.0,772.22,12/31/2018,2000.0,0.0,rabin, eliot mr.,
Jineea Butler,NY,U.S. House New York District 13,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H8NY13150,"BUTLER, JINEEA THE NEW AM",C,2.0,REP,5927.73,0.0,5826.0,0.0,100.0,201.73,5927.73,0.0,0.0,0.0,0.0,0.0,0.0,NY,13.0,,,,,,0.0,0.0,06/30/2018,0.0,0.0,butler, jineea the new am,
Anthony Pappas,NY,U.S. House New York District 14,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H8NY14133,"PAPPAS, ANTHONY",C,2.0,REP,8161.0,0.0,2500.0,0.0,0.0,5662.0,0.0,0.0,0.0,0.0,0.0,0.0,8161.0,NY,14.0,,,,,,0.0,0.0,11/15/2018,0.0,0.0,pappas, anthony,
